origin,destination,count
AAE,MRS,7
AAL,CPH,3415
AAL,IST,9
AAR,STN,73
ABE,ATL,16763
ABE,CAK,1
ABE,CLE,8
ABE,MSP,13
ABI,PHX,1
ABJ,BOY,2
ABJ,CDG,2059
ABJ,DLA,18
ABJ,LBV,6
ABJ,NBO,126
ABJ,NDJ,2
ABQ,ATL,16066
ABQ,BOI,9
ABQ,BUF,1
ABQ,FLL,6
ABQ,LBB,4
ABQ,LHR,1
ABQ,MCO,420
ABQ,MEX,1
ABQ,MIA,7
ABQ,OMA,24
ABQ,SAN,3159
ABQ,SJC,327
ABQ,SJU,1
ABQ,WAS,1
ABR,CHI,1
ABV,ABJ,2
ABV,QUO,2
ABZ,AMS,3016
ABZ,FRA,1399
ABZ,KEF,27
ABZ,LCY,732
ABZ,PHX,2
ACC,ABV,128
ACC,LOS,350
ACC,ROB,1
ACE,MAD,109
ACY,FLL,308
ADD,BOM,204
ADD,DKR,42
ADD,ENU,17
ADD,GRU,3
ADD,HAH,2
ADD,JED,954
ADD,KRT,73
ADD,NRT,2
ADD,YYZ,55
ADL,AKL,293
ADL,IAH,3
ADL,MCY,22
AEP,RES,296
AEP,SLA,701
AEP,VVI,89
AER,DME,64
AFA,RSA,10
AGA,ARN,1
AGA,CMN,178
AGP,BCN,898
AGP,BKQ,1
AGP,BRU,191
AGP,FUE,1
AGP,HHN,4
AGP,LYS,3
AGP,MAD,1015
AGP,SDR,1
AGP,TXL,21
AGP,YUL,5
AGS,AGS,4
AGS,CLT,11431
AGU,MEX,7922
Airpo,MEL,5
AIRPO,YVR,1
AIT,RAR,2
AJA,TLS,4
AJU,CGH,13
AJU,VCP,8
AKL,BNE,3456
AKL,HOU,1
AKL,LHR,22
AKL,NAN,292
AKL,SCL,332
AKL,WAG,32
ALA,ALB,1
ALA,AUH,22
ALA,GTF,2
ALA,KUL,21
ALA,TBS,25
ALB,IAD,6815
ALB,PIT,114
ALB,RNO,6
ALB,SEA,20
ALC,ARN,16
ALC,BGY,10
ALC,CWL,2
ALC,EDI,11
ALC,HAM,16
ALC,LGW,306
ALC,LTN,137
ALC,STN,24
ALC,SVG,1
ALC,SXF,2
ALG,ABJ,1
ALG,BKO,3
ALG,BLJ,3
ALG,CDG,2822
ALG,LIS,22
ALG,MRS,91
ALG,NIM,8
ALG,ORY,167
ALG,PHX,1
ALS,ABQ,9
ALT,HPN,1
AMA,CLT,17
AMA,PHL,3
AMA,PHX,14
AMA,SAT,31
AMD,BLR,131
AMI,DPS,1
AMM,BOS,1
AMM,FCO,115
AMS,ACE,6
AMS,ARK,1
AMS,BGO,726
AMS,CMN,244
AMS,CPH,12594
AMS,CTG,1
AMS,EGC,2
AMS,EMA,262
AMS,FLR,1604
AMS,GIG,378
AMS,LBA,3863
AMS,LED,613
AMS,MME,1872
AMS,MNL,179
AMS,NTE,1728
AMS,QNQ,10
AMS,RTM,5
AMS,SAW,406
AMS,SID,1
AMS,SIN,3149
AMS,SOU,2194
AMS,SVQ,250
AMS,TCI,1
AMS,TRF,317
AMS,TYO,4
AMS,XPG,8
AMS,ZYR,90
ANC,ANC,83
ANC,IAH,438
ANC,LAS,56
ANC,LAX,1194
ANC,OME,671
ANI,ANC,79
ANK,IAH,1
ANR,FCO,7
ANU,BGI,165
ANZ,MAN,1
AOI,CTA,2
AOJ,HND,184
AOJ,NKM,1
AOO,PIT,69
AOR,SZB,39
APA,FMN,18
APW,NAN,198
AQP,IAH,2
AQP,LIM,1885
ARB,DTW,3
ARN,ADD,6
ARN,ALC,12
ARN,BOD,5
ARN,CMN,3
ARN,DUB,948
ARN,FRA,6657
ARN,KRK,26
ARN,NCE,194
ARN,QYU,2
ARN,RHO,1
ARN,RIX,248
ARN,SFO,3
ARN,SJU,1
ARN,VAA,794
ARN,VCE,5
ASB,GYD,92
ASB,IST,177
ASE,LAX,1246
ASJ,ITM,2
ASP,PER,1127
ASP,TCA,10
ASU,EZE,777
ASU,IAH,1
ASU,MAD,9
ASU,PTY,595
ASU,VVI,9
Atatu,HKG,1
ATH,AGP,1
ATH,ATH,3
ATH,CFU,77
ATH,HER,417
ATH,IEV,1
ATH,JKH,52
ATH,LGW,187
ATH,LHE,1
ATH,LIS,23
ATH,MEM,1
ATH,MRS,19
ATH,NCE,12
ATH,NRT,1
ATH,TXL,87
ATL,AUA,1328
ATL,BCN,2305
ATL,BOS,118167
ATL,CRW,14656
ATL,DESTI,1
ATL,ECP,22834
ATL,EGE,523
ATL,FRA,8991
ATL,FSD,2994
ATL,GND,18
ATL,GRU,10340
ATL,HTS,1
ATL,JNU,2
ATL,LFT,10581
ATL,OMA,33888
ATL,PDX,34516
ATL,PUJ,2712
ATL,SJD,1074
ATL,TRI-C,1
ATL,TUL,28462
ATL,UIO,1040
ATL,ULC,1
ATL,XNA,26368
ATL,YUL,18668
ATL,YXU,1
ATQ,DOH,17
ATW,DFW,1
ATY,DEN,74
ATY,LAX,1
AUA,AMS,33
AUH,AMS,3130
AUH,BNE,403
AUH,CTU,29
AUH,DAC,253
AUH,DUB,913
AUH,HKT,32
AUH,IAH,5
AUH,LHE,230
AUH,LOS,40
AUH,MHT,2
AUH,MUX,4
AUH,SYD,2619
AUK,EMK,5
AUS,AL,1
AUS,ANC,2
AUS,BEL,1
AUS,BIL,14
AUS,BUR,24
AUS,CAN,2
AUS,EWR,25137
AUS,LFT,1
AUS,LHR,9104
AUS,MOB,1
AUS,MRS,2
AUS,NEW,1
AUS,PNQ,3
AUS,RDU,482
AUS,RIO,1
AUS,SAN,6945
AUS,SBD,1
AUS,SCL,1
AUS,SFO,41972
AUS,SHA,1
AUS,SMF,92
AUS,TUS,5
AUS,YLW,1
AUS,YUL,4
AVL,CVG,1
AVL,GRR,2
AVL,MKE,2
AYP,LIM,75
AYT,ADA,2
AYT,ADB,6
AYT,TLV,1
AYT,ZRH,21
AZA,BIS,5
AZA,DFW,1
AZA,GRR,12
AZA,GSO,1
AZA,GTF,2
AZA,MDW,1
AZA,NYC,1
AZA,SJC,70
AZO,CWA,1
BAG,DXB,2
BAH,AMM,144
BAH,ATL,1
BAH,COK,6
BAH,MAA,16
BAH,RUH,622
Bahra,KWI,2
BAL,EWR,1
BAL,NWK,4
BAX,NYC,1
BBI,VTZ,3
BCB,DUB,1
BCN,ATL,2003
BCN,BES,3
BCN,BLQ,187
BCN,BSL,399
BCN,CAG,6
BCN,EDI,154
BCN,FEZ,4
BCN,HAJ,104
BCN,KEF,30
BCN,LON,3
BCN,MAN,689
BCN,MCO,7
BCN,MIL,2
BCN,MLA,45
BCN,NYC,1
BCN,ORK,27
BCN,ORN,25
BCN,ORY,4266
BCN,PRG,596
BCN,RIX,36
BCN,SKG,2
BCN,SLC,4
BCN,STN,608
BCN,VCE,324
BCN,YHZ,1
BCN,ZRH,4223
BCV,BZE,3
BDA,ATL,2785
BDA,JFK,8108
BDK,BWI,1
BDL,ATL,58109
BDL,BHM,8
BDL,BNA,201
BDL,BWI,24122
BDL,SEA,30
BDL,SNP,1
BDL,TPA,4377
BDS,MUC,5
BEB,INV,34
BEB,SYY,1234
BEG,BCN,1
BEG,BRU,69
BEG,BVA,2
BEG,IST,407
BEG,KBP,23
BEG,NYO,1
BEG,VIE,699
BEJ,BPN,9
BEL,AUS,1
BENGA,BOM,1
BER,BRU,3
BER,MSP,3
BER,TUS,2
BER,ZJS,1
BES,LTN,5
BES,ORY,1393
BET,EEK,2
BET,KKI,1
BET,MEK,1
BET,NUP,5
BET,PTU,1
BEY,ACC,3
BEY,EBL,41
BEY,FCO,131
BEY,LCA,74
BFF,DEN,636
BFL,YXU,2
BFN,DUR,38
BFS,MAN,406
BGA,CUC,43
BGD,YYC,3
BGI,FRA,9
BGI,MIA,3028
BGI,SJU,4
BGI,SVD,242
BGI,YYZ,1010
BGO,AMS,752
BGO,DUB,1
BGR,DCA,2637
BGR,JFK,2
BGW,DXB,1450
BGY,FRA,1
BGY,MAD,212
BGY,NUE,106
BGY,SCQ,2
BGY,VNO,12
BGY,WRO,69
BHB,RDM,2
BHD,CWL,205
BHD,EXT,30
BHD,GLA,1993
BHH,JED,6
BHM,ABI,2
BHM,AMS,3
BHM,DEN,2259
BHM,EZE,1
BHM,GRR,10
BHM,HRL,3
BHM,LAX,1
BHM,PVD,12
BHM,RIC,13
BHM,SMF,5
BHX,ABX,1
BHX,BHX,2
BHX,GIB,10
BHX,GVA,208
BHX,LAS,1
BHX,LON,1
BHX,LPA,1
BHX,MUC,3345
BHX,MXP,876
BHX,NOC,38
BHX,PAR,1
BHX,WAT,1
BHY,CSX,3
BIA,BOD,2
BIK,NBX,2
BIL,OAK,1
BIO,MAN,34
BIO,MUC,737
BIO,PMI,32
BIO,STN,97
BIQ,DUB,7
BIQ,LYS,350
BIQ,STN,37
BJC,MAF,1
BJV,LGW,9
BJX,HMO,1
BJX,PHL,2
BKI,JHB,4
BKK,BOM,1351
BKK,BOS,1
BKK,BWN,33
BKK,CEI,143
BKK,HAN,855
BKK,JAI,1
BKK,KHN,10
BKK,KUL,2870
BKK,KWI,13
BKK,SFO,3
BKK,TDX,13
BKK,THS,6
BKK,TPE,2920
BKO,CMN,44
BKO,PAR,1
BLD,PHX,2
BLG,KTW,1
BLK,QQU,1
BLL,CPH,859
BLL,VNO,1
BLQ,AHO,2
BLQ,BDS,35
BLQ,BOG,1
BLQ,BRI,75
BLQ,MAD,410
BLQ,PAR,1
BLR,AMD,132
BLR,BDQ,3
BLR,JAI,235
BLR,JED,3
BLR,KUL,1328
BLR,MAM,3
BLR,MCT,108
BLR,RAJ,1
BLV,PIE,5
BMA,KLR,304
BMA,RNB,112
BMI,ABI,1
BMI,PIE,5
BMU,LOP,1
BNA,ATL,100825
BNA,BNE,1
BNA,CVG,6344
BNA,DAB,2
BNA,DAL,13593
BNA,EZE,3
BNA,MSL,114
BNA,PBI,26
BNA,RNO,45
BNA,SHV,7
BNA,SJO,1
BNA,SJU,7
BNA,SYD,5
BNE,ATL,1
BNE,DRW,6113
BNE,NTL,10689
BNE,OOL,1
BNE,VLI,88
BNE,XTG,2
BOB,HUH,2
BOB,MOZ,13
BOD,AGP,2
BOD,GVA,244
